Removed Pin From Net: NetName=GND Pin=B1-2
Removed Pin From Net: NetName=GND Pin=C11-1
Removed Pin From Net: NetName=GND Pin=C12-1
Removed Pin From Net: NetName=+5 Pin=C12-2
Removed Pin From Net: NetName=VDD1 Pin=C13-2
Removed Pin From Net: NetName=+5 Pin=C14-1
Removed Pin From Net: NetName=GND Pin=C14-2
Removed Pin From Net: NetName=+8.4 Pin=C15-1
Removed Pin From Net: NetName=GND Pin=C15-2
Removed Pin From Net: NetName=VDD1 Pin=C16-2
Removed Pin From Net: NetName=+5 Pin=C20-2
Removed Pin From Net: NetName=GND Pin=C22-1
Removed Pin From Net: NetName=VCCNRF Pin=C22-2
Removed Pin From Net: NetName=VCCNRF Pin=C26-2
Removed Pin From Net: NetName=+8.4 Pin=D1-A
Removed Pin From Net: NetName=GND Pin=D6-2
Removed Pin From Net: NetName=VDD1 Pin=R7-2
Removed Pin From Net: NetName=NetD3_1 Pin=R8-1
Removed Pin From Net: NetName=+5 Pin=R8-2
Removed Pin From Net: NetName=NetD5_1 Pin=R12-1
Removed Pin From Net: NetName=VCCNRF Pin=R12-2
Removed Pin From Net: NetName=+8.4 Pin=SW1-2
Removed Pin From Net: NetName=GND Pin=U2-1
Removed Pin From Net: NetName=VCCNRF Pin=U2-2
Removed Pin From Net: NetName=+5 Pin=U2-3
Removed Pin From Net: NetName=VCCNRF Pin=U2-4
Removed Pin From Net: NetName=VDD1 Pin=U3-2
Removed Pin From Net: NetName=VDD1 Pin=U3-4
Removed Pin From Net: NetName=GND Pin=VR1-3
Removed Pin From Net: NetName=+5 Pin=VR1-4
Removed Pin From Net: NetName=GND Pin=VR1-5
Removed Pin From Net: NetName=GND Pin=VR1-6
Removed Member From Class: ClassName=Power_Supply Member=B1
Removed Member From Class: ClassName=Power_Supply Member=SW1
Removed Member From Class: ClassName=Power_Supply Member=VR1
Change Component Footprint: Designator=C13 Old Footprint=CAP 0603_1608 New Footprint=CAP 0805_2012
Change Component Footprint: Designator=C26 Old Footprint=CAP 0603_1608 New Footprint=CAP 0805_2012
Change Component Footprint: Designator=C15 Old Footprint=CAP ALSMD 8.3MM H10.5MM New Footprint=CAP 0603_1608
Change Component Footprint: Designator=C14 Old Footprint=CAP ALSMD 8.3MM H10.5MM New Footprint=CAP 0805_2012
Change Component Footprint: Designator=D1 Old Footprint=DIOM7959X265N New Footprint=SOD323
Change Component Footprint: Designator=D6 Old Footprint=LED 0402_1005 RED New Footprint=DIOM7959X265N
Change Component Footprint: Designator=U2 Old Footprint=SOT229P700X180-4N New Footprint=SOT95P285X100-6N
Change Component Footprint: Designator=R7 Old Footprint=tro smd 0603 New Footprint=RES 0603_1608
Change Component Footprint: Designator=R12 Old Footprint=tro smd 0603 New Footprint=RES 0603_1608
Change Component Footprint: Designator=L1 Old Footprint=WURTH WE-PD 1210 New Footprint=TDK SLF7032
Change Component Comment : Designator=C26 Old Comment=0.1 µF New Comment=10 µF
Change Component Comment : Designator=R12 Old Comment=1k New Comment=1 kOhms
Change Component Comment : Designator=R7 Old Comment=1k New Comment=52.3 kOhms
Change Component Comment : Designator=C13 Old Comment=4.7 µF New Comment=10 µF
Change Component Comment : Designator=C21 Old Comment=4.7 µF New Comment=10 µF
Change Component Comment : Designator=C20 Old Comment=10 µF New Comment=4.7 µF
Change Component Comment : Designator=C11 Old Comment=10 µF New Comment=10000 pF
Change Component Comment : Designator=C12 Old Comment=10 µF New Comment=10000 pF
Change Component Comment : Designator=C22 Old Comment=10 µF New Comment=10000 pF
Change Component Comment : Designator=L1 Old Comment=68 µH New Comment=10µH
Change Component Comment : Designator=C14 Old Comment=220 µF New Comment=22 µF
Change Component Comment : Designator=C15 Old Comment=220 µF New Comment=10000 pF
Change Component Comment : Designator=R8 Old Comment=470 Ohms New Comment=100 kOhms
Change Component Comment : Designator=U2 Old Comment=AMS1117 - 3.3V New Comment=LM2734YMK
Change Component Comment : Designator=D6 Old Comment=Red New Comment=SS34
Change Component Comment : Designator=D1 Old Comment=SS34 New Comment=BAT165E6327HTSA1
Change component parameters: Designator = "U2" ("U2"); Footprint = "SOT229P700X180-4N"; UniqueID = "\XPVHIRDL" ("\XPVHIRDL")
Change component parameters (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "LM2734YMK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "SOT-23 Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/LM2734YMK/Texas%20Instruments/view-part/105783/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "C20" ("C20"); Footprint = "CAP 0603_1608"; UniqueID = "\MIJPANIY" ("\MIJPANIY")
Change component parameters (AddParameter): Name = "Applications"; Value = "Automotive"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "4.7 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1url"; Value = "https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=LMK107BJ475MAHT &u=M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2url"; Value = "https://www.digikey.com/en/products/detail/taiyo-yuden/LMK107BJ475MAHT/4970801"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lastupdated"; Value = "2/9/2024 8:10:27 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "manufacturer"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "LMK107BJ475MAHT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "partid"; Value = "4660"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "price"; Value = "0.02"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "series"; Value = "M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "587-6291-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness (Max)"; Value = "0.035" (0.90mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "4.7 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "10V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C21" ("C21"); Footprint = "CAP 0603_1608"; UniqueID = "\FQHRWSRJ" ("\FQHRWSRJ")
